,total,black,total,hispanic,median income,B25003_002E,B25003_003E,county,hs,somecollege,bach
"Block Group 3, Census Tract 1304.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:130402> block group:3",942,52,942,38,68875,292,186,Suffolk County,416,205,218
"Block Group 5, Census Tract 1304.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:130402> block group:5",1063,0,1063,123,-666666666,289,21,Suffolk County,151,163,388
"Block Group 6, Census Tract 1404, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:140400> block group:6",2486,1852,2486,281,65101,607,188,Suffolk County,728,345,478
"Block Group 7, Census Tract 1404, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:140400> block group:7",1018,206,1018,589,59028,214,201,Suffolk County,185,399,155
"Block Group 1, Census Tract 1404, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:140400> block group:1",574,404,574,242,-666666666,80,224,Suffolk County,324,109,56
"Block Group 4, Census Tract 1404, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:140400> block group:4",542,409,542,191,31500,144,84,Suffolk County,130,166,92
"Block Group 3, Census Tract 1404, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:140400> block group:3",1147,902,1147,238,92895,253,89,Suffolk County,390,360,233
"Block Group 2, Census Tract 1404, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:140400> block group:2",1078,1028,1078,25,61530,297,70,Suffolk County,292,240,267
"Block Group 5, Census Tract 1404, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:140400> block group:5",2116,1865,2116,83,81654,443,176,Suffolk County,890,373,249
"Block Group 1, Census Tract 2.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:000201> block group:1",1221,16,1221,18,82727,141,321,Suffolk County,144,143,669
"Block Group 2, Census Tract 2.01, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:000201> block group:2",665,0,665,30,116071,43,189,Suffolk County,21,84,477
"Block Group 4, Census Tract 1, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:000100> block group:4",1302,152,1302,208,95921,112,326,Suffolk County,353,111,498
"Block Group 1, Census Tract 1, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:000100> block group:1",2096,103,2096,388,37019,239,536,Suffolk County,739,212,530
"Block Group 4, Census Tract 1402.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:140202> block group:4",1792,582,1792,684,96750,365,211,Suffolk County,454,429,409
"Block Group 2, Census Tract 1402.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:140202> block group:2",1719,869,1719,714,43750,282,306,Suffolk County,614,328,248
"Block Group 5, Census Tract 1402.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:140202> block group:5",735,46,735,30,108182,281,9,Suffolk County,138,113,336
"Block Group 3, Census Tract 1701, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:170100> block group:3",829,20,829,252,78750,192,89,Suffolk County,357,102,137
"Block Group 6, Census Tract 1701, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:170100> block group:6",804,47,804,278,72159,208,37,Suffolk County,338,110,76
"Block Group 2, Census Tract 1701, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:170100> block group:2",1309,220,1309,305,74100,359,91,Suffolk County,535,188,139
"Block Group 7, Census Tract 1701, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:170100> block group:7",1243,49,1243,691,50164,265,265,Suffolk County,686,131,61
"Block Group 5, Census Tract 1701, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:170100> block group:5",1260,166,1260,637,56071,234,284,Suffolk County,490,241,177
"Block Group 5, Census Tract 1703, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:170300> block group:5",1754,0,1754,178,69219,444,115,Suffolk County,966,238,149
"Block Group 6, Census Tract 1703, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:170300> block group:6",1809,40,1809,565,46277,266,363,Suffolk County,861,153,139
"Block Group 2, Census Tract 1703, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:170300> block group:2",923,119,923,339,57212,190,154,Suffolk County,517,100,129
