,total,black,total,hispanic,median income,B25003_002E,B25003_003E,county,hs,somecollege,bach
"Block Group 3, Census Tract 8009, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800900> block group:3",1597,270,1597,1332,26368,36,399,Hampden County,549,165,35
"Block Group 1, Census Tract 8009, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800900> block group:1",1479,175,1479,1211,21439,68,536,Hampden County,684,106,19
"Block Group 3, Census Tract 8012, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801200> block group:3",568,218,568,223,-666666666,12,286,Hampden County,372,122,20
"Block Group 1, Census Tract 8012, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801200> block group:1",751,55,751,698,11129,0,330,Hampden County,241,72,21
"Block Group 3, Census Tract 8022, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802200> block group:3",1288,162,1288,771,33446,39,381,Hampden County,620,156,49
"Block Group 2, Census Tract 8012, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801200> block group:2",1155,333,1155,703,20938,0,610,Hampden County,497,101,155
"Block Group 2, Census Tract 8022, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802200> block group:2",911,151,911,582,32468,57,324,Hampden County,244,177,108
"Block Group 1, Census Tract 8022, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802200> block group:1",994,176,994,576,21086,109,222,Hampden County,488,78,61
"Block Group 2, Census Tract 8101, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810100> block group:2",1019,105,1019,50,42306,389,104,Hampden County,387,122,256
"Block Group 1, Census Tract 8101, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810100> block group:1",2574,0,2574,68,93158,847,101,Hampden County,783,457,660
"Block Group 2, Census Tract 8102, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810200> block group:2",1086,0,1086,66,46648,396,107,Hampden County,246,465,149
"Block Group 1, Census Tract 8102, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810200> block group:1",752,0,752,75,58375,248,87,Hampden County,207,240,189
"Block Group 3, Census Tract 8112, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811200> block group:3",998,0,998,206,82690,206,240,Hampden County,402,254,115
"Block Group 1, Census Tract 8112, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811200> block group:1",1483,0,1483,0,60417,559,157,Hampden County,578,359,351
"Block Group 1, Census Tract 8130, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813000> block group:1",829,4,829,12,83333,329,9,Hampden County,214,210,232
"Block Group 5, Census Tract 8130, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813000> block group:5",609,0,609,3,101563,223,36,Hampden County,169,137,173
"Block Group 6, Census Tract 8130, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813000> block group:6",1590,0,1590,52,82273,555,33,Hampden County,477,329,345
"Block Group 4, Census Tract 8130, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813000> block group:4",1177,0,1177,9,75250,479,25,Hampden County,395,243,296
"Block Group 1, Census Tract 8126, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812600> block group:1",1645,0,1645,242,73484,373,389,Hampden County,460,272,548
"Block Group 2, Census Tract 8126, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812600> block group:2",832,36,832,273,55799,266,113,Hampden County,266,121,217
"Block Group 1, Census Tract 8016.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801601> block group:1",2089,97,2089,347,53854,433,126,Hampden County,359,259,276
"Block Group 4, Census Tract 8016.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801601> block group:4",985,405,985,216,47625,289,141,Hampden County,363,209,138
"Block Group 2, Census Tract 8016.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801601> block group:2",768,108,768,210,78889,205,57,Hampden County,241,128,130
"Block Group 3, Census Tract 8016.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801601> block group:3",929,371,929,215,51167,233,135,Hampden County,373,205,150
"Block Group 1, Census Tract 8017, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801700> block group:1",722,311,722,244,-666666666,124,160,Hampden County,201,124,132
"Block Group 2, Census Tract 8017, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801700> block group:2",2117,229,2117,92,32344,32,39,Hampden County,29,105,20
"Block Group 5, Census Tract 8017, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801700> block group:5",1265,500,1265,727,31875,150,294,Hampden County,459,152,161
"Block Group 6, Census Tract 8017, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801700> block group:6",1110,536,1110,517,26042,73,294,Hampden County,436,112,80
"Block Group 2, Census Tract 8135, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813500> block group:2",1122,0,1122,71,90357,431,5,Hampden County,190,278,380
"Block Group 3, Census Tract 8017, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801700> block group:3",787,524,787,268,22212,58,185,Hampden County,200,86,60
"Block Group 4, Census Tract 8017, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801700> block group:4",1831,1160,1831,291,38510,179,268,Hampden County,514,291,89
"Block Group 1, Census Tract 8135, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813500> block group:1",1341,0,1341,16,76875,485,17,Hampden County,484,249,268
"Block Group 3, Census Tract 8135, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813500> block group:3",1491,12,1491,50,91435,492,67,Hampden County,428,363,379
"Block Group 1, Census Tract 8127.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812702> block group:1",2456,108,2456,901,51500,258,554,Hampden County,788,487,267
"Block Group 2, Census Tract 8127.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812702> block group:2",2051,50,2051,145,31250,183,631,Hampden County,824,354,78
"Block Group 1, Census Tract 8002.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800202> block group:1",1372,124,1372,530,37500,421,127,Hampden County,451,293,139
"Block Group 1, Census Tract 8008, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800800> block group:1",1660,236,1660,1186,14583,27,657,Hampden County,705,246,31
"Block Group 2, Census Tract 8011.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801102> block group:2",449,34,449,286,20781,12,150,Hampden County,266,64,40
"Block Group 1, Census Tract 8011.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801102> block group:1",697,101,697,299,53657,9,386,Hampden County,103,55,315
"Block Group 1, Census Tract 8134.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813401> block group:1",1355,0,1355,7,82222,411,95,Hampden County,262,288,403
"Block Group 2, Census Tract 8134.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813401> block group:2",933,0,933,96,95313,349,7,Hampden County,156,277,272
"Block Group 2, Census Tract 8134.04, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813404> block group:2",2244,83,2244,190,103813,573,293,Hampden County,473,445,785
"Block Group 3, Census Tract 8134.04, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813404> block group:3",2768,291,2768,194,97500,726,58,Hampden County,491,424,899
"Block Group 4, Census Tract 8136.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813601> block group:4",730,0,730,8,107917,213,0,Hampden County,162,151,255
"Block Group 1, Census Tract 8136.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813602> block group:1",1321,100,1321,129,133021,365,22,Hampden County,363,380,200
"Block Group 3, Census Tract 8137.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813702> block group:3",964,11,964,22,57639,257,56,Hampden County,296,235,187
"Block Group 1, Census Tract 8137.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813701> block group:1",1906,41,1906,11,88533,650,111,Hampden County,614,369,443
"Block Group 2, Census Tract 8137.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813701> block group:2",1687,1,1687,21,67132,476,211,Hampden County,459,509,300
"Block Group 2, Census Tract 8137.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813702> block group:2",2525,1,2525,61,91845,819,115,Hampden County,679,686,505
"Block Group 5, Census Tract 8137.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813702> block group:5",110,11,110,0,-666666666,35,12,Hampden County,0,21,37
"Block Group 1, Census Tract 8138.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813801> block group:1",2117,3,2117,103,54103,684,174,Hampden County,672,491,297
"Block Group 3, Census Tract 8138.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813801> block group:3",1392,5,1392,5,77188,474,91,Hampden County,354,391,291
"Block Group 1, Census Tract 8138.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813802> block group:1",2517,123,2517,56,85938,821,90,Hampden County,599,622,587
"Block Group 2, Census Tract 8015.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801502> block group:2",582,151,582,128,65329,196,23,Hampden County,273,128,57
"Block Group 1, Census Tract 8016.03, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801603> block group:1",1357,332,1357,240,50167,396,178,Hampden County,382,368,284
"Block Group 2, Census Tract 8016.03, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801603> block group:2",2375,150,2375,427,60350,956,153,Hampden County,849,513,470
"Block Group 2, Census Tract 8016.04, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801604> block group:2",1246,68,1246,167,60658,425,55,Hampden County,357,251,267
"Block Group 3, Census Tract 8111.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811101> block group:3",973,51,973,93,40893,193,180,Hampden County,471,193,112
"Block Group 2, Census Tract 8111.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811101> block group:2",1548,176,1548,544,-666666666,215,442,Hampden County,664,322,162
"Block Group 4, Census Tract 8113.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811301> block group:4",1548,33,1548,366,44609,344,169,Hampden County,501,354,204
"Block Group 1, Census Tract 8107, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810700> block group:1",1453,26,1453,195,73167,508,70,Hampden County,685,344,166
"Block Group 2, Census Tract 8107, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810700> block group:2",901,158,901,37,59625,309,47,Hampden County,445,130,172
"Block Group 2, Census Tract 8114, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811400> block group:2",1559,36,1559,1503,15800,23,513,Hampden County,662,182,22
"Block Group 2, Census Tract 8003, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800300> block group:2",1118,140,1118,607,48292,325,153,Hampden County,352,190,235
"Block Group 4, Census Tract 8003, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800300> block group:4",667,76,667,229,55682,218,44,Hampden County,302,117,94
"Block Group 3, Census Tract 8003, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800300> block group:3",856,154,856,261,47361,233,96,Hampden County,339,184,80
"Block Group 2, Census Tract 8004, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800400> block group:2",2119,121,2119,1186,29477,350,344,Hampden County,624,312,330
"Block Group 5, Census Tract 8004, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800400> block group:5",856,133,856,275,45824,242,67,Hampden County,358,105,120
"Block Group 1, Census Tract 8015.03, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801503> block group:1",1531,487,1531,654,44375,157,364,Hampden County,415,379,223
"Block Group 2, Census Tract 8015.03, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801503> block group:2",1503,404,1503,429,34347,475,216,Hampden County,536,342,172
"Block Group 1, Census Tract 8020, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802000> block group:1",2334,256,2334,1636,17250,142,783,Hampden County,1059,295,136
"Block Group 2, Census Tract 8020, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802000> block group:2",749,175,749,600,23581,8,328,Hampden County,384,79,0
"Block Group 3, Census Tract 8021, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802100> block group:3",490,17,490,34,63958,109,99,Hampden County,57,186,177
"Block Group 2, Census Tract 8024, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802400> block group:2",673,0,673,87,63438,281,33,Hampden County,153,58,291
"Block Group 4, Census Tract 8021, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802100> block group:4",986,110,986,463,14695,86,416,Hampden County,417,179,52
"Block Group 2, Census Tract 8021, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802100> block group:2",773,283,773,205,68906,183,139,Hampden County,117,82,326
"Block Group 4, Census Tract 8024, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802400> block group:4",824,108,824,87,52399,330,21,Hampden County,201,250,169
"Block Group 1, Census Tract 8103, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810300> block group:1",1690,16,1690,0,51161,348,243,Hampden County,628,246,211
"Block Group 2, Census Tract 8103, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810300> block group:2",1917,105,1917,269,57760,497,238,Hampden County,607,497,243
"Block Group 3, Census Tract 8026.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802601> block group:3",1285,282,1285,463,53828,80,333,Hampden County,243,358,59
"Block Group 4, Census Tract 8026.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802601> block group:4",1497,619,1497,667,31931,73,332,Hampden County,749,85,53
"Block Group 5, Census Tract 8026.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802601> block group:5",1552,430,1552,300,43409,280,252,Hampden County,462,263,226
"Block Group 6, Census Tract 8026.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802601> block group:6",1061,56,1061,340,85846,338,41,Hampden County,291,241,265
"Block Group 4, Census Tract 8111.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811102> block group:4",1354,43,1354,230,50580,324,237,Hampden County,422,433,104
"Block Group 4, Census Tract 8113.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811302> block group:4",1223,0,1223,240,-666666666,497,110,Hampden County,393,382,249
"Block Group 2, Census Tract 8113.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811302> block group:2",1138,12,1138,59,72868,388,99,Hampden County,278,308,268
"Block Group 1, Census Tract 8113.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811302> block group:1",0,0,0,0,-666666666,0,0,Hampden County,0,0,0
"Block Group 1, Census Tract 8119, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811900> block group:1",1431,120,1431,118,112273,402,140,Hampden County,345,265,416
"Block Group 2, Census Tract 8132.04, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813204> block group:2",2298,40,2298,91,101528,780,59,Hampden County,443,511,802
"Block Group 3, Census Tract 8134.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813401> block group:3",2215,17,2215,17,70352,661,78,Hampden County,521,660,429
"Block Group 2, Census Tract 8136.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813601> block group:2",2382,51,2382,123,108902,702,111,Hampden County,506,321,861
"Block Group 1, Census Tract 8136.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813601> block group:1",955,33,955,54,67279,435,42,Hampden County,311,152,268
"Block Group 1, Census Tract 8011.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801101> block group:1",1865,215,1865,1419,14018,24,1068,Hampden County,723,451,116
"Block Group 1, Census Tract 8129.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812901> block group:1",2225,0,2225,42,82656,669,125,Hampden County,395,398,658
"Block Group 3, Census Tract 8129.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812901> block group:3",710,0,710,51,67500,172,98,Hampden County,153,206,81
"Block Group 5, Census Tract 8018, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801800> block group:5",601,256,601,370,24583,57,144,Hampden County,231,97,37
"Block Group 2, Census Tract 8018, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801800> block group:2",1390,516,1390,861,31682,116,290,Hampden County,521,165,35
"Block Group 1, Census Tract 8117, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811700> block group:1",315,0,315,196,15395,80,190,Hampden County,197,45,73
"Block Group 2, Census Tract 8117, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811700> block group:2",1032,0,1032,870,18417,19,407,Hampden County,448,174,25
"Block Group 1, Census Tract 8134.04, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813404> block group:1",2007,185,2007,0,96563,724,66,Hampden County,290,411,719
"Block Group 1, Census Tract 8110, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811000> block group:1",646,0,646,71,24281,157,180,Hampden County,224,166,82
"Block Group 2, Census Tract 8110, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811000> block group:2",877,0,877,254,58933,146,180,Hampden County,245,230,159
"Block Group 3, Census Tract 8110, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811000> block group:3",548,0,548,97,55403,299,37,Hampden County,337,109,89
"Block Group 1, Census Tract 8016.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801602> block group:1",2677,705,2677,750,30176,484,528,Hampden County,801,551,337
"Block Group 2, Census Tract 8016.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801602> block group:2",1178,211,1178,218,74038,392,66,Hampden County,360,286,196
"Block Group 2, Census Tract 8132.06, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813206> block group:2",667,10,667,57,71250,236,59,Hampden County,133,198,196
"Block Group 1, Census Tract 8132.06, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813206> block group:1",1837,82,1837,46,76000,617,111,Hampden County,591,352,449
"Block Group 3, Census Tract 8025, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802500> block group:3",848,127,848,51,45789,428,14,Hampden County,384,152,178
"Block Group 1, Census Tract 8025, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802500> block group:1",1156,243,1156,376,98720,455,0,Hampden County,236,251,380
"Block Group 4, Census Tract 8025, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802500> block group:4",906,244,906,173,83622,315,30,Hampden County,151,283,229
"Block Group 5, Census Tract 8025, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802500> block group:5",1234,112,1234,390,51223,385,154,Hampden County,364,210,222
"Block Group 2, Census Tract 8025, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802500> block group:2",1159,15,1159,0,62500,323,107,Hampden County,432,184,192
"Block Group 3, Census Tract 8123, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812300> block group:3",2608,0,2608,406,31262,323,648,Hampden County,595,487,476
"Block Group 4, Census Tract 8123, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812300> block group:4",772,0,772,40,37426,119,244,Hampden County,323,144,46
"Block Group 1, Census Tract 8123, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812300> block group:1",713,70,713,111,43080,62,121,Hampden County,251,70,45
"Block Group 3, Census Tract 8136.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813601> block group:3",1740,50,1740,51,124857,592,0,Hampden County,241,434,664
"Block Group 5, Census Tract 8136.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813601> block group:5",1332,47,1332,159,35294,299,279,Hampden County,470,329,181
"Block Group 6, Census Tract 8136.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813601> block group:6",1125,0,1125,88,94479,399,0,Hampden County,373,198,298
"Block Group 1, Census Tract 8129.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812902> block group:1",482,0,482,118,42031,126,143,Hampden County,116,140,74
"Block Group 2, Census Tract 8129.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812902> block group:2",1973,8,1973,39,75208,807,20,Hampden County,498,368,668
"Block Group 3, Census Tract 8129.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812902> block group:3",2031,101,2031,39,82083,837,8,Hampden County,611,360,627
"Block Group 2, Census Tract 8134.03, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813403> block group:2",1197,78,1197,38,64167,362,202,Hampden County,215,343,310
"Block Group 1, Census Tract 8134.03, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813403> block group:1",2730,21,2730,58,92708,824,184,Hampden County,533,469,858
"Block Group 4, Census Tract 8002.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800201> block group:4",984,11,984,517,60536,350,44,Hampden County,334,169,131
"Block Group 5, Census Tract 8002.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800201> block group:5",1075,134,1075,356,33333,425,137,Hampden County,481,231,108
"Block Group 3, Census Tract 8002.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800201> block group:3",1432,47,1432,937,27310,104,264,Hampden County,744,70,12
"Block Group 2, Census Tract 8006, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800600> block group:2",1174,262,1174,995,20179,6,287,Hampden County,406,52,16
"Block Group 1, Census Tract 8006, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800600> block group:1",660,56,660,605,12473,18,247,Hampden County,374,44,0
"Block Group 3, Census Tract 8006, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800600> block group:3",695,113,695,662,13370,7,215,Hampden County,238,121,4
"Block Group 2, Census Tract 8007, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800700> block group:2",2528,467,2528,1979,20724,154,741,Hampden County,976,247,115
"Block Group 1, Census Tract 8007, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800700> block group:1",1763,127,1763,1699,16283,72,560,Hampden County,622,230,68
"Block Group 1, Census Tract 8014.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801402> block group:1",882,329,882,393,41549,292,87,Hampden County,237,233,90
"Block Group 2, Census Tract 8015.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801501> block group:2",1210,450,1210,241,68986,282,114,Hampden County,247,378,160
"Block Group 4, Census Tract 8015.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801501> block group:4",639,264,639,230,73958,171,20,Hampden County,215,115,63
"Block Group 3, Census Tract 8015.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801501> block group:3",1031,375,1031,451,51429,295,33,Hampden County,431,252,58
"Block Group 3, Census Tract 8016.05, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801605> block group:3",1017,104,1017,34,97232,297,34,Hampden County,191,171,384
"Block Group 1, Census Tract 8016.05, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801605> block group:1",931,121,931,295,90056,263,57,Hampden County,304,187,191
"Block Group 1, Census Tract 8106.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810601> block group:1",876,30,876,129,-666666666,157,312,Hampden County,378,233,93
"Block Group 3, Census Tract 8106.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:810601> block group:3",1096,80,1096,258,53182,295,141,Hampden County,469,238,73
"Block Group 1, Census Tract 8115, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811500> block group:1",1260,132,1260,1083,17900,8,412,Hampden County,565,32,10
"Block Group 4, Census Tract 8118, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811800> block group:4",206,27,206,64,100341,37,56,Hampden County,53,58,40
"Block Group 2, Census Tract 8118, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811800> block group:2",1211,12,1211,966,27159,99,300,Hampden County,490,131,102
"Block Group 5, Census Tract 8118, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:811800> block group:5",959,0,959,489,52946,146,212,Hampden County,270,158,151
"Block Group 4, Census Tract 8121.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:812101> block group:4",1051,0,1051,24,85563,469,0,Hampden County,393,278,250
"Block Group 4, Census Tract 8132.05, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813205> block group:4",1237,0,1237,0,75563,575,55,Hampden County,588,277,213
"Block Group 3, Census Tract 8132.05, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:813205> block group:3",2617,16,2617,82,69958,830,191,Hampden County,616,624,677
"Block Group 3, Census Tract 8001.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800101> block group:3",1402,349,1402,176,58188,385,194,Hampden County,478,336,186
"Block Group 2, Census Tract 8001.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800101> block group:2",1222,329,1222,672,21941,148,343,Hampden County,498,106,212
"Block Group 2, Census Tract 8001.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800102> block group:2",1057,201,1057,523,36625,53,267,Hampden County,449,64,11
"Block Group 3, Census Tract 8001.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800102> block group:3",1185,299,1185,477,26944,83,445,Hampden County,374,267,118
"Block Group 1, Census Tract 8002.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800201> block group:1",1790,203,1790,1410,15893,162,420,Hampden County,629,203,139
"Block Group 3, Census Tract 8004, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:800400> block group:3",613,124,613,363,28780,44,166,Hampden County,273,91,0
"Block Group 4, Census Tract 8013, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801300> block group:4",852,494,852,208,71875,158,94,Hampden County,255,192,146
"Block Group 2, Census Tract 8014.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801401> block group:2",1868,1142,1868,451,39750,161,376,Hampden County,492,320,135
"Block Group 2, Census Tract 8014.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801402> block group:2",1166,292,1166,486,58088,263,125,Hampden County,451,214,101
"Block Group 4, Census Tract 8018, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801800> block group:4",610,227,610,436,36579,89,183,Hampden County,354,70,0
"Block Group 1, Census Tract 8019.01, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801901> block group:1",1339,367,1339,580,20439,64,423,Hampden County,565,121,45
"Block Group 1, Census Tract 8019.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801902> block group:1",1594,198,1594,1129,20088,112,716,Hampden County,596,327,123
"Block Group 2, Census Tract 8019.02, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:801902> block group:2",1135,284,1135,684,32982,64,380,Hampden County,448,168,197
"Block Group 5, Census Tract 8021, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802100> block group:5",569,24,569,138,-666666666,118,280,Hampden County,178,47,248
"Block Group 3, Census Tract 8023, Hampden County, Massachusetts: Summary level: 150, state:25> county:013> tract:802300> block group:3",1365,351,1365,738,25221,146,495,Hampden County,551,253,167
