,Year,Postal,state,county,registry,race,hispanic,sex,age,population
560,1969,MA,25,11,63,1,9,1,0,474
561,1969,MA,25,11,63,1,9,1,1,1788
562,1969,MA,25,11,63,1,9,1,2,2840
563,1969,MA,25,11,63,1,9,1,3,2938
564,1969,MA,25,11,63,1,9,1,4,2621
565,1969,MA,25,11,63,1,9,1,5,1933
566,1969,MA,25,11,63,1,9,1,6,1786
567,1969,MA,25,11,63,1,9,1,7,1287
568,1969,MA,25,11,63,1,9,1,8,1319
569,1969,MA,25,11,63,1,9,1,9,1613
570,1969,MA,25,11,63,1,9,1,10,1914
571,1969,MA,25,11,63,1,9,1,11,1861
572,1969,MA,25,11,63,1,9,1,12,1509
